Price,Name,Brand,Size,Packaging,Female,Male,Homo,Perufme,EdP,EdT,EdC,Floral,Fruity,Food,Amber,Woody,Leather,Aquatic,Green,Other,Fresh/Energetic,Warm,Classic,Sweet,Individual,Limitation,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Juicy Couture,Juicy Couture,1.7,0.8,1,,,,1,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Viva La Juicy Glace,Juicy Couture,0.17,0.5,1,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Viva La Juicy Glace,Juicy Couture,3.4,0.7,1,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Viva La Juicy,Juicy Couture,1,0.7,1,,,,1,,,,1,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Viva La Juicy Gold Couture,Juicy Couture,3.4,0.8,1,,,,1,,,,1,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Juicy Couture Malibu ,Juicy Couture,2.5,0.6,1,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Juicy Couture Malibu ,Juicy Couture,5,0.6,1,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Juicy Couture Oui,Juicy Couture,3.4,0.55,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Juicy Couture I Love Juicy Couture,Juicy Couture,3.4,0.55,1,,,,1,,,,1,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Viva La Juicy Limited,Juicy Couture,3.4,0.9,1,,,,1,,,,1,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Juicy Couture Majestic Woods,Juicy Couture,3.4,0.9,1,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Juicy Couture Glistening Amber,Juicy Couture,3.4,0.9,1,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,I Am Juicy Couture,Juicy Couture,1.7,0.5,1,,,,1,,,,1,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Juicy Couture Hollywood Royal,Juicy Couture,2.5,0.8,1,,,,,1,,1,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Bombshell Eau de Parfum,VICTORIA'S SECRET,1.7,0.25,1,,,,1,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Bombshell Eau de Parfum,VICTORIA'S SECRET,3.4,0.25,1,,,,1,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Daisy Love Eau de Toilette,Marc Jacobs,1.7,0.6,1,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Daisy Love Eau de Toilette,Marc Jacobs,3.4,0.6,1,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Daisy Eau de Toilette Spray,Marc Jacobs,1.7,0.6,1,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Daisy Eau de Toilette Spray,Marc Jacobs,3.4,0.6,1,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Marc Jacobs Decadence,Marc Jacobs,3.4,0.7,1,,,,1,,,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Decadence Eau So Decadent,Marc Jacobs,3.4,0.7,1,,,,,1,,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Decadence Eau So Decadent,Marc Jacobs,1.7,0.7,1,,,,,1,,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Marc Jacobs Daisy Dream,Marc Jacobs,1.7,0.6,1,,,,,1,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Marc Jacobs Daisy Dream,Marc Jacobs,3.4,0.6,1,,,,,1,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Alien,Thierry Mugler,1,0.5,1,,,,1,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Alien,Thierry Mugler,2,0.5,1,,,,1,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Alien,Thierry Mugler,3,0.5,1,,,,1,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Angel,Thierry Mugler,1.7,0.3,1,,,,1,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Angel,Thierry Mugler,3.4,0.5,1,,,,1,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,A*Men,Thierry Mugler,1.7,0.25,,1,,,,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Aura Mugler,Thierry Mugler,1.7,0.5,1,,,,1,,,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Aura Mugler,Thierry Mugler,3.4,0.5,1,,,,1,,,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Happy,Clinique,1,0.1,1,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
